評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
93,959,巨鍛匠,妖精,鋼,-,-,-,-,-,-,-,-,1500,106.2,140.9,141,25,妖精之風,巨力錘*,重踏,7,7,3,75000,2110405
92,38,九尾,火,,-,-,暗影,-,-,-,-,-,1496,114.4,135.5,126,24.5,火花*,氣象球 火,能量球*,4,5,3,50000,1953716
91.4,222,太陽珊瑚,幽靈,,伽勒爾,-,-,-,-,-,-,-,1500,99.3,163.1,139,47.5,驚嚇,黑夜魔影,力量寶石,5,5,3,50000,2251734
91.4,823,鋼鎧鴉,飛行,鋼,-,-,-,-,-,-,-,-,1500,107,130.7,150,23,潑沙,空氣利刃*,鐵頭*,10,13,1,10000,2097411
91.3,845,古月鳥,飛行,水,-,-,-,-,-,-,-,-,1498,121.2,121.2,126,26,啄,潛水,飛翔,5,6,3,50000,1852316
91.3,195,沼王,水,地面,-,-,暗影,-,-,-,-,-,1499,111.3,112.7,161,28.5,泥巴射擊,水流尾*,尖石攻擊,4,7,3,50000,2018332
91.2,195,沼王,水,地面,-,-,-,-,-,-,-,-,1499,111.3,112.7,161,28.5,泥巴射擊,水流尾*,尖石攻擊,4,7,3,50000,2018332
91.1,809,美錄梅塔,鋼,,-,-,-,-,-,-,-,-,1500,121,105.2,146,15.5,電擊,鋼拳雙擊*,爆裂拳,4,5,20,100000,1857750
91,828,狐大盜,惡,,-,-,-,-,-,-,-,-,1494,119.9,121.9,127,26,突襲,暗襲要害,冰凍之風*,5,7,1,10000,1856410
90.9,334,七夕青鳥,龍,飛行,-,-,-,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,2167763
90.9,395,帝王拿波,水,鋼,-,-,-,-,-,-,-,-,1497,125.2,117,122,19,金屬音,加農水砲*,啄鑽,5,5,3,10000,1787543
90.9,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,水之波動,5,7,5,75000,2126860
90.9,38,九尾,火,,-,-,-,-,-,-,-,-,1496,114.4,135.5,126,24.5,火花*,氣象球 火,能量球*,4,5,3,50000,1953716
90.9,143,卡比獸,一般,,-,-,-,-,-,-,-,-,1500,108.4,102.3,187,17.5,精神波,泰山壓頂,地震,10,17,5,75000,2073265
90.8,395,帝王拿波,水,鋼,-,-,暗影,-,-,-,-,-,1497,125.2,117,122,19,金屬音,加農水砲*,啄鑽,5,5,3,10000,1787543
90.8,671,花潔夫人,妖精,,-,-,-,-,-,-,-,-,1499,120.1,141.6,110,17,妖精之風,潑冷水*,魅惑之聲,5,5,3,50000,1869643
90.7,823,鋼鎧鴉,飛行,鋼,-,-,暗影,-,-,-,-,-,1500,107,130.7,150,23,潑沙,空氣利刃*,鐵頭*,10,13,1,10000,2097411
90.7,778,謎擬Ｑ,幽靈,妖精,-,-,-,-,-,-,-,-,1500,121.6,141.6,107,25,暗影爪,影子偷襲,嬉鬧,7,8,5,50000,1841866
90.6,160,大力鱷,水,,-,-,-,-,-,-,-,-,1500,123.9,117.4,125,19.5,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,1817697
90.6,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,禍不單行,衝浪,暗影球,4,4,3,50000,2101858
90.5,334,七夕青鳥,龍,飛行,-,-,暗影,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,2167763
90.4,752,滴蛛霸,水,蟲,-,-,-,-,-,-,-,-,1499,97.4,174,136,32,死纏爛打,水之波動,鏡面反射,5,4,3,50000,2306355
90.4,162,大尾立,一般,,-,-,-,-,-,-,-,-,1498,115.3,105.4,160,34.5,突襲,高速星星,起草,5,7,1,10000,1945534
90.3,184,瑪力露麗,水,妖精,-,-,-,-,-,-,-,-,1499,93.4,134.5,191,43,泡沫,冰凍光束,嬉鬧,5,6,3,50000,2399514
90.3,22,大嘴雀,一般,飛行,-,-,-,-,-,-,-,-,1500,131.5,104.6,124,28,啄,啄鑽,直衝鑽,5,5,1,10000,1705662
90.3,288,過動猿,一般,,-,-,-,-,-,-,-,-,1497,116.2,114.1,145,28.5,抓,泰山壓頂,重踏,10,14,5,75000,1923360
90.2,979,棄世猴,格鬥,幽靈,-,-,-,-,-,-,-,-,1499,123.4,105.2,140,17,踢倒,憤怒之拳*,冰凍拳,5,5,3,50000,1817129
90.2,980,土王,毒,地面,-,-,-,-,-,-,-,-,1500,95.1,119.7,208,29.5,毒針,地震,尖石攻擊,8,7,3,50000,2366922
90.2,386,代歐奇希斯,超能力,,-,-,-,-,防禦,-,-,-,1491,101,221.5,98,23.5,踢倒,精神突進,十萬伏特,5,7,20,100000,2192628
90.2,160,大力鱷,水,,-,-,暗影,-,-,-,-,-,1500,123.9,117.4,125,19.5,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,1817697
90.2,687,烏賊王,惡,超能力,-,-,-,-,-,-,-,-,1493,117.2,116.6,139,23.5,精神波,蠻力,欺詐,10,10,3,50000,1899127
90.2,105,嘎啦嘎啦,地面,,-,-,-,-,-,-,-,-,1496,109.6,148.9,125,31.5,擲泥,骨棒,岩崩,4,5,3,50000,2040576
90.1,979,棄世猴,格鬥,幽靈,-,-,暗影,-,-,-,-,-,1499,123.4,105.2,140,17,踢倒,憤怒之拳*,冰凍拳,5,5,3,50000,1817129
90.1,687,烏賊王,惡,超能力,-,-,暗影,-,-,-,-,-,1493,117.2,116.6,139,23.5,精神波,欺詐,蠻力,10,10,3,50000,1899127
90.1,302,勾魂眼,惡,幽靈,-,-,暗影,-,-,-,-,-,1496,119.7,124.6,125,47,暗影爪,欺詐,吸取拳,5,5,5,75000,1864140
90,101,頑皮雷彈,電,草,洗翠,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,電擊,瘋狂伏特,能量球,5,5,3,50000,1825336
90,197,月亮伊布,惡,,-,-,-,-,-,-,-,-,1500,90.2,177,156,27,大聲咆哮,惡之波動,珍藏*,4,5,5,75000,2491764
89.9,799,惡食大王,惡,龍,-,-,-,-,-,-,-,-,1499,113.3,66.1,265,19.5,龍尾,狂舞揮打,污泥炸彈,3,5,20,100000,1982915
89.9,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,2147136
